MATCH_ID,MATCH_DATE,TOURNAMENT,TEAM_ID,OPP_TEAM_ID,GOALS,OPP_GOALS,IS_HOST,TOURNAMENT_CATEGORY
15639,1987-03-29,African Cup of Nations qualification,Senegal,Guinea,4.0,0.0,1,Continental Cup
15639,1987-03-29,African Cup of Nations qualification,Guinea,Senegal,0.0,4.0,0,Continental Cup
15640,1987-03-29,African Cup of Nations qualification,Mozambique,Zimbabwe,1.0,1.0,1,Continental Cup
15640,1987-03-29,African Cup of Nations qualification,Zimbabwe,Mozambique,1.0,1.0,0,Continental Cup
15641,1987-03-29,UEFA Euro qualification,Portugal,Malta,2.0,2.0,1,Continental Cup
15641,1987-03-29,UEFA Euro qualification,Malta,Portugal,2.0,2.0,0,Continental Cup
15642,1987-03-29,African Cup of Nations qualification,DR Congo,Angola,3.0,0.0,1,Continental Cup
15642,1987-03-29,African Cup of Nations qualification,Angola,DR Congo,0.0,3.0,0,Continental Cup
15643,1987-03-29,African Cup of Nations qualification,Cameroon,Uganda,5.0,1.0,1,Continental Cup
15643,1987-03-29,African Cup of Nations qualification,Uganda,Cameroon,1.0,5.0,0,Continental Cup
15644,1987-03-29,African Cup of Nations qualification,Ivory Coast,Congo,2.0,0.0,1,Continental Cup
15644,1987-03-29,African Cup of Nations qualification,Congo,Ivory Coast,0.0,2.0,0,Continental Cup
15645,1987-03-30,African Cup of Nations qualification,Ghana,Sierra Leone,1.0,2.0,1,Continental Cup
15645,1987-03-30,African Cup of Nations qualification,Sierra Leone,Ghana,2.0,1.0,0,Continental Cup
15646,1987-03-31,Friendly,Ecuador,Cuba,0.0,1.0,1,Friendly
15646,1987-03-31,Friendly,Cuba,Ecuador,1.0,0.0,0,Friendly
15647,1987-04-01,UEFA Euro qualification,Austria,Spain,2.0,3.0,1,Continental Cup
15647,1987-04-01,UEFA Euro qualification,Spain,Austria,3.0,2.0,0,Continental Cup
15648,1987-04-01,UEFA Euro qualification,Belgium,Scotland,4.0,1.0,1,Continental Cup
15648,1987-04-01,UEFA Euro qualification,Scotland,Belgium,1.0,4.0,0,Continental Cup
15649,1987-04-01,UEFA Euro qualification,Bulgaria,Republic of Ireland,2.0,1.0,1,Continental Cup
15649,1987-04-01,UEFA Euro qualification,Republic of Ireland,Bulgaria,1.0,2.0,0,Continental Cup
15650,1987-04-01,UEFA Euro qualification,Northern Ireland,England,0.0,2.0,1,Continental Cup
15650,1987-04-01,UEFA Euro qualification,England,Northern Ireland,2.0,0.0,0,Continental Cup
15651,1987-04-01,UEFA Euro qualification,Wales,Finland,4.0,0.0,1,Continental Cup
15651,1987-04-01,UEFA Euro qualification,Finland,Wales,0.0,4.0,0,Continental Cup
15652,1987-04-02,Friendly,Ecuador,Cuba,0.0,0.0,1,Friendly
15652,1987-04-02,Friendly,Cuba,Ecuador,0.0,0.0,0,Friendly
15653,1987-04-05,African Cup of Nations qualification,Congo,Ivory Coast,1.0,2.0,1,Continental Cup
15653,1987-04-05,African Cup of Nations qualification,Ivory Coast,Congo,2.0,1.0,0,Continental Cup
15654,1987-04-08,Friendly,Romania,Israel,3.0,2.0,1,Friendly
15654,1987-04-08,Friendly,Israel,Romania,2.0,3.0,0,Friendly
15655,1987-04-08,Friendly,Bahrain,Iraq,1.0,3.0,1,Friendly
15655,1987-04-08,Friendly,Iraq,Bahrain,3.0,1.0,0,Friendly
15656,1987-04-08,Friendly,Gabon,Ivory Coast,1.0,0.0,1,Friendly
15656,1987-04-08,Friendly,Ivory Coast,Gabon,0.0,1.0,0,Friendly
15657,1987-04-10,Friendly,Bahrain,Iraq,1.0,2.0,1,Friendly
15657,1987-04-10,Friendly,Iraq,Bahrain,2.0,1.0,0,Friendly
15658,1987-04-11,African Cup of Nations qualification,Angola,DR Congo,1.0,0.0,1,Continental Cup
15658,1987-04-11,African Cup of Nations qualification,DR Congo,Angola,0.0,1.0,0,Continental Cup
15659,1987-04-11,African Cup of Nations qualification,Zimbabwe,Mozambique,1.0,0.0,1,Continental Cup
15659,1987-04-11,African Cup of Nations qualification,Mozambique,Zimbabwe,0.0,1.0,0,Continental Cup
15660,1987-04-11,African Cup of Nations qualification,Uganda,Cameroon,3.0,1.0,1,Continental Cup
15660,1987-04-11,African Cup of Nations qualification,Cameroon,Uganda,1.0,3.0,0,Continental Cup
15661,1987-04-11,African Cup of Nations qualification,Sierra Leone,Ghana,0.0,0.0,1,Continental Cup
15661,1987-04-11,African Cup of Nations qualification,Ghana,Sierra Leone,0.0,0.0,0,Continental Cup
15662,1987-04-11,African Cup of Nations qualification,Tanzania,Sudan,1.0,1.0,1,Continental Cup
15662,1987-04-11,African Cup of Nations qualification,Sudan,Tanzania,1.0,1.0,0,Continental Cup
15663,1987-04-12,UEFA Euro qualification,Poland,Cyprus,0.0,0.0,1,Continental Cup
15663,1987-04-12,UEFA Euro qualification,Cyprus,Poland,0.0,0.0,0,Continental Cup
15664,1987-04-12,African Cup of Nations qualification,Guinea,Senegal,0.0,0.0,1,Continental Cup
15664,1987-04-12,African Cup of Nations qualification,Senegal,Guinea,0.0,0.0,0,Continental Cup
15665,1987-04-12,African Cup of Nations qualification,Madagascar,Kenya,2.0,1.0,1,Continental Cup
15665,1987-04-12,African Cup of Nations qualification,Kenya,Madagascar,1.0,2.0,0,Continental Cup
15666,1987-04-12,African Cup of Nations qualification,Togo,Nigeria,1.0,1.0,1,Continental Cup
15666,1987-04-12,African Cup of Nations qualification,Nigeria,Togo,1.0,1.0,0,Continental Cup
15667,1987-04-14,African Cup of Nations qualification,Tunisia,Algeria,1.0,1.0,1,Continental Cup
15667,1987-04-14,African Cup of Nations qualification,Algeria,Tunisia,1.0,1.0,0,Continental Cup
15668,1987-04-15,Friendly,Netherlands,Czechoslovakia,1.0,0.0,1,Friendly
15668,1987-04-15,Friendly,Czechoslovakia,Netherlands,0.0,1.0,0,Friendly
15669,1987-04-15,UEFA Euro qualification,Switzerland,Malta,4.0,1.0,1,Continental Cup
15669,1987-04-15,UEFA Euro qualification,Malta,Switzerland,1.0,4.0,0,Continental Cup
