MATCH_ID,MATCH_DATE,TOURNAMENT,TEAM_ID,OPP_TEAM_ID,GOALS,OPP_GOALS,IS_HOST,TOURNAMENT_CATEGORY,MATCH_HASH,ELO_POST,AVG_GOALS_10,AVG_OPP_GOALS_10
47137.0,2024-03-26,Friendly,Finland,Estonia,2.0,1.0,1,Friendly,2024-03-26 00:00:00_Estonia_Finland,1608.4696780048891,1.8,1.1
47138.0,2024-03-26,African Cup of Nations qualification,Djibouti,Liberia,0.0,0.0,0,Continental Cup,2024-03-26 00:00:00_Djibouti_Liberia,1169.1046593160333,1.1,2.8
47138.0,2024-03-26,African Cup of Nations qualification,Liberia,Djibouti,0.0,0.0,1,Continental Cup,2024-03-26 00:00:00_Djibouti_Liberia,1384.6291569564569,1.1,1.7
47139.0,2024-03-26,African Cup of Nations qualification,Eswatini,Somalia,2.0,2.0,0,Continental Cup,2024-03-26 00:00:00_Eswatini_Somalia,1349.9601066357518,0.7,1.1
47139.0,2024-03-26,African Cup of Nations qualification,Somalia,Eswatini,2.0,2.0,0,Continental Cup,2024-03-26 00:00:00_Eswatini_Somalia,1127.054395169759,0.4,2.3
47140.0,2024-03-26,African Cup of Nations qualification,Chad,Mauritius,2.0,1.0,0,Continental Cup,2024-03-26 00:00:00_Chad_Mauritius,1342.9566725335785,0.5,1.8
47140.0,2024-03-26,African Cup of Nations qualification,Mauritius,Chad,1.0,2.0,1,Continental Cup,2024-03-26 00:00:00_Chad_Mauritius,1236.991931194114,0.6,1.0
47141.0,2024-03-26,African Cup of Nations qualification,South Sudan,São Tomé and Príncipe,0.0,0.0,0,Continental Cup,2024-03-26 00:00:00_South Sudan_São Tomé and Príncipe,1306.228704028284,0.7,2.0
47141.0,2024-03-26,African Cup of Nations qualification,São Tomé and Príncipe,South Sudan,0.0,0.0,0,Continental Cup,2024-03-26 00:00:00_South Sudan_São Tomé and Príncipe,1231.0050241835577,0.7,3.6
47142.0,2024-03-26,Friendly,Austria,Turkey,6.0,1.0,1,Friendly,2024-03-26 00:00:00_Austria_Turkey,1800.4003895665478,1.8,0.7
47142.0,2024-03-26,Friendly,Turkey,Austria,1.0,6.0,0,Friendly,2024-03-26 00:00:00_Austria_Turkey,1760.072617826204,1.7,1.3
47143.0,2024-03-26,Friendly,Cuba,Nicaragua,1.0,0.0,0,Friendly,2024-03-26 00:00:00_Cuba_Nicaragua,1419.8174390333606,0.4,2.6
47143.0,2024-03-26,Friendly,Nicaragua,Cuba,0.0,1.0,1,Friendly,2024-03-26 00:00:00_Cuba_Nicaragua,1432.8897901513394,2.0,1.2
47144.0,2024-03-26,Friendly,Argentina,Costa Rica,3.0,1.0,0,Friendly,2024-03-26 00:00:00_Argentina_Costa Rica,2027.5007055213464,2.2,0.2
47144.0,2024-03-26,Friendly,Costa Rica,Argentina,1.0,3.0,0,Friendly,2024-03-26 00:00:00_Argentina_Costa Rica,1679.0895075141268,1.7,2.0
47145.0,2024-03-26,Friendly,Portugal,Slovenia,0.0,2.0,0,Friendly,2024-03-26 00:00:00_Portugal_Slovenia,1922.124384958609,3.7,0.4
47145.0,2024-03-26,Friendly,Slovenia,Portugal,2.0,0.0,1,Friendly,2024-03-26 00:00:00_Portugal_Slovenia,1703.5931564185846,1.9,1.0
47146.0,2024-03-26,FIFA World Cup qualification,British Virgin Islands,United States Virgin Islands,0.0,0.0,1,Qualifier,2024-03-26 00:00:00_British Virgin Islands_United States Virgin Islands,1138.4873804488525,1.1,2.6
47146.0,2024-03-26,FIFA World Cup qualification,United States Virgin Islands,British Virgin Islands,0.0,0.0,0,Qualifier,2024-03-26 00:00:00_British Virgin Islands_United States Virgin Islands,1141.0545780231798,1.0,2.1
47147.0,2024-03-26,FIFA World Cup qualification,Anguilla,Turks and Caicos Islands,1.0,1.0,0,Qualifier,2024-03-26 00:00:00_Anguilla_Turks and Caicos Islands,1094.5752021196345,0.2,3.7
47147.0,2024-03-26,FIFA World Cup qualification,Turks and Caicos Islands,Anguilla,1.0,1.0,1,Qualifier,2024-03-26 00:00:00_Anguilla_Turks and Caicos Islands,1240.7518088243603,1.2,2.2
47148.0,2024-03-26,FIFA Series,Algeria,South Africa,3.0,3.0,1,Other,2024-03-26 00:00:00_Algeria_South Africa,1727.657286688036,2.4,0.9
47148.0,2024-03-26,FIFA Series,South Africa,Algeria,3.0,3.0,0,Other,2024-03-26 00:00:00_Algeria_South Africa,1639.2004308605403,0.8,0.6
47149.0,2024-03-26,FIFA Series,Croatia,Egypt,4.0,2.0,0,Other,2024-03-26 00:00:00_Croatia_Egypt,1860.954702137559,1.6,0.5
47149.0,2024-03-26,FIFA Series,Egypt,Croatia,2.0,4.0,1,Other,2024-03-26 00:00:00_Croatia_Egypt,1710.7700222509689,2.0,0.8
47150.0,2024-03-26,FIFA Series,New Zealand,Tunisia,0.0,0.0,0,Other,2024-03-26 00:00:00_New Zealand_Tunisia,1604.2549809681004,0.5,1.5
47150.0,2024-03-26,FIFA Series,Tunisia,New Zealand,0.0,0.0,0,Other,2024-03-26 00:00:00_New Zealand_Tunisia,1698.5888428289165,1.1,0.7
47151.0,2024-03-26,FIFA Series,Cambodia,Guyana,1.0,4.0,0,Other,2024-03-26 00:00:00_Cambodia_Guyana,1162.8523027709698,1.5,1.3
47151.0,2024-03-26,FIFA Series,Guyana,Cambodia,4.0,1.0,0,Other,2024-03-26 00:00:00_Cambodia_Guyana,1417.5416042526026,2.1,1.1
47152.0,2024-03-26,FIFA Series,Brunei,Vanuatu,3.0,2.0,0,Other,2024-03-26 00:00:00_Brunei_Vanuatu,1053.1342593415322,0.8,4.9
47152.0,2024-03-26,FIFA Series,Vanuatu,Brunei,2.0,3.0,0,Other,2024-03-26 00:00:00_Brunei_Vanuatu,1454.4539481509535,1.2,2.0
47153.0,2024-03-26,UEFA Nations League,Gibraltar,Lithuania,0.0,1.0,0,Nations League,2024-03-26 00:00:00_Gibraltar_Lithuania,1223.0513486404434,0.0,4.4
47153.0,2024-03-26,UEFA Nations League,Lithuania,Gibraltar,1.0,0.0,1,Nations League,2024-03-26 00:00:00_Gibraltar_Lithuania,1393.697366815119,0.9,1.3
47154.0,2024-03-26,UEFA Euro qualification,Poland,Wales,0.0,0.0,0,Continental Cup,2024-03-26 00:00:00_Poland_Wales,1720.39591581361,1.7,0.8
47154.0,2024-03-26,UEFA Euro qualification,Wales,Poland,0.0,0.0,1,Continental Cup,2024-03-26 00:00:00_Poland_Wales,1738.928643846676,1.7,1.0
47155.0,2024-03-26,UEFA Euro qualification,Iceland,Ukraine,1.0,2.0,0,Continental Cup,2024-03-26 00:00:00_Iceland_Ukraine,1562.0005762594806,1.6,1.2
47155.0,2024-03-26,UEFA Euro qualification,Ukraine,Iceland,2.0,1.0,0,Continental Cup,2024-03-26 00:00:00_Iceland_Ukraine,1812.5149119265877,1.6,1.2
47156.0,2024-03-26,UEFA Euro qualification,Georgia,Greece,0.0,0.0,1,Continental Cup,2024-03-26 00:00:00_Georgia_Greece,1629.4978294388598,2.2,1.8
47156.0,2024-03-26,UEFA Euro qualification,Greece,Georgia,0.0,0.0,0,Continental Cup,2024-03-26 00:00:00_Georgia_Greece,1706.311978054703,1.8,0.8
47157.0,2024-03-26,FIFA World Cup qualification,Afghanistan,India,2.0,1.0,0,Qualifier,2024-03-26 00:00:00_Afghanistan_India,1316.9875446462643,0.8,2.3
47157.0,2024-03-26,FIFA World Cup qualification,India,Afghanistan,1.0,2.0,1,Qualifier,2024-03-26 00:00:00_Afghanistan_India,1401.6093776256066,0.4,1.3
47158.0,2024-03-26,FIFA World Cup qualification,Kuwait,Qatar,1.0,2.0,1,Qualifier,2024-03-26 00:00:00_Kuwait_Qatar,1456.8609905604626,1.2,1.6
47158.0,2024-03-26,FIFA World Cup qualification,Qatar,Kuwait,2.0,1.0,0,Qualifier,2024-03-26 00:00:00_Kuwait_Qatar,1746.2387884988796,2.1,0.7
47159.0,2024-03-26,FIFA World Cup qualification,Myanmar,Syria,0.0,7.0,0,Qualifier,2024-03-26 00:00:00_Myanmar_Syria,1228.9946470963625,1.1,1.8
47159.0,2024-03-26,FIFA World Cup qualification,Syria,Myanmar,7.0,0.0,0,Qualifier,2024-03-26 00:00:00_Myanmar_Syria,1531.304469905875,0.8,1.3
47160.0,2024-03-26,FIFA World Cup qualification,South Korea,Thailand,3.0,0.0,0,Qualifier,2024-03-26 00:00:00_South Korea_Thailand,1785.0105648796166,2.1,1.1
